Year	Total	AfAm	NaAm	HiLa	AsAm	White	Unknown	Int
1994	8581	556	99	1375	3090	2784	512	165
1995	8927	614	134	1506	2932	2965	573	203
1996	9122	597	110	1378	3066	3080	686	205
1997	8565	562	66	1278	3005	2827	625	202
1998	8548	248	31	649	3167	2811	1444	198
1999	8556	310	41	763	3297	3008	917	220
2000	8906	353	48	914	3361	3015	987	228
2001	9028	341	57	1028	3452	2994	974	182
2002	8708	331	46	1029	3396	2900	823	183
2003	8848	328	51	1042	3397	2853	916	261
2004	9055	239	41	966	3584	3163	869	193
2005	9829	304	53	1141	3888	3379	788	276
2006	9941	324	58	1201	4080	3188	806	284
2007	10252	322	59	1247	4103	3413	786	322
2008	10405	319	46	1227	3895	3288	880	750
2009	10528	334	49	1299	4036	3318	732	760
2010	10795	337	80	1217	3995	3287	725	1154
2011	11452	354	77	1399	4500	3299	369	1454
2012	11108	365	76	1510	4461	3001	433	1262
2013	11930	363	60	1428	4537	3256	497	1789
2014	11820	339	90	1615	4579	3179	509	1509
2015	13320	429	75	1870	5383	3496	658	1409
2016	13975	461	76	1930	5682	3814	750	1262
2017	14549	493	92	2117	5895	3947	706	1299

