Year	Total	AfAm	NaAm	HiLa	AsAm	White	Unknown	Int
1994	20984	1087	140	2423	8336	6984	1255	759
1995	22908	1199	197	2730	8560	7771	1474	977
1996	25211	1213	172	2831	9600	8531	1909	955
1997	27271	1176	138	2878	10593	9430	1636	1420
1998	30134	1256	175	3156	10557	8931	4638	1421
1999	31233	1143	159	2823	11772	10813	3020	1503
2000	33351	1318	173	3439	12469	10989	3268	1695
2001	36227	1458	207	3990	13551	11515	3467	2039
2002	36445	1558	200	4282	13770	11835	3165	1635
2003	37001	1723	198	4653	13462	11651	3568	1746
2004	36834	1558	185	4853	13813	11617	3284	1524
2005	37014	1578	191	4982	13607	12089	2671	1896
2006	41796	1863	251	5918	15660	13053	2862	2189
2007	44149	2023	233	6446	15996	14040	2805	2606
2008	48473	2243	246	7653	16702	15045	3267	3317
2009	48682	2318	270	7797	16697	14547	2670	4383
2010	50374	2661	352	8209	17332	14170	2721	4929
2011	52982	2647	330	9427	18365	14604	1279	6330
2012	61717	3129	368	11117	20555	15406	1708	9434
2013	67706	3381	328	12321	21157	16859	2059	11601
2014	73785	3540	444	13122	23099	17795	2066	13719
2015	78893	3944	417	13865	24365	18781	2494	15027
2016	82561	4198	421	14677	24688	19850	2710	16017
2017	85045	4439	427	15883	26166	20053	2643	15434
