Year	Total	AfAm	NaAm	HiLa	AsAm	White	Unknown	Int
1994	3345	202	37	497	1388	970	189	62
1995	3404	215	62	530	1274	1024	210	89
1996	3708	227	48	547	1453	1095	268	70
1997	3572	258	22	476	1481	1042	230	63
1998	3735	126	14	272	1579	1090	588	66
1999	3618	126	22	330	1584	1111	354	91
2000	3735	148	20	326	1636	1124	402	79
2001	3841	143	22	388	1696	1136	399	57
2002	3653	143	14	401	1643	1064	301	87
2003	3652	148	16	396	1597	1052	343	100
2004	3673	108	16	346	1617	1170	336	80
2005	4105	134	14	429	1902	1234	289	103
2006	4157	151	17	481	1903	1204	295	106
2007	4225	136	21	492	1910	1261	277	128
2008	4261	146	19	463	1788	1178	313	354
2009	4356	129	19	477	1829	1321	256	325
2010	4109	123	28	426	1623	1147	250	512
2011	4443	130	33	485	1843	1189	102	661
2012	4162	142	29	540	1783	1002	138	528
2013	4706	130	18	560	1824	1158	168	848
2014	5466	159	42	788	2173	1352	204	748
2015	5550	155	27	742	2334	1343	262	687
2016	6182	171	22	839	2609	1575	317	649
2017	6379	186	24	922	2684	1565	301	697
