Year,year.2016,year.2017,year.2018,year.2019,year.20year.20,year.2021,year.2022,year.2023,year.2024,year.2025,year.2026,year.2027,year.2028,year.2029,year.2030,year.2031,year.2032,year.2033,year.2034,year.2035,year.2036,year.2037,year.2038,year.2039,year.2040,year.2041,year.2042,year.2043,year.2044,year.2045,year.2046,year.2047,year.2048,year.2049,year.2050,year.2051,year.2052,year.2053,year.2054,year.2055,year.2056,year.2057,year.2058,year.2059,year.2060
A.White,28917179,29108020,29326570,29549149,29773103,29995797,30219239,30441483,30661940,30881619,31100036,31316088,31530030,31741320,31950186,32158068,32361447,32560648,32756063,32946924,33134395,33316809,33495541,33670522,33841768,34008048,34170348,34328200,34482486,34632965,34779637,34923987,35066421,35206034,35343777,35477834,35608605,35738841,35868644,35999368,36127576,36258146,36389172,36520788,36652671
A.Black,2562589,2576275,2592905,2609855,2626987,2644340,2661528,2678470,2695251,2712002,2728841,2745447,2762088,2778021,2793921,2809281,2824581,2839372,2854027,2868738,2882830,2896968,2910482,2923555,2936932,2949698,2962255,2974525,2986346,2998406,3009740,3021427,3032666,3043271,3054067,3064950,3075700,3086166,3096836,3107422,3118538,3129454,3140604,3152051,3163841
A.AIAN,667878,676516,685483,694471,703313,711928,720616,729178,737632,746138,754249,762424,770208,778187,786175,793664,801532,808884,816026,823071,830212,837294,844161,850930,857392,863874,870430,876585,882674,888571,894363,900041,905512,911097,916358,921388,926453,931455,936276,940702,945296,949587,953952,958312,962554
A.Asian,5528323,5591697,5661776,5730995,5799895,5867749,5933927,5998706,6062719,6125020,6186322,6247037,6307557,6366917,6424520,6480352,6535404,6588730,6641697,6693896,6746161,6797036,6844999,6891304,6935930,6978424,7019240,7059166,7097686,7134475,7169598,7203776,7236049,7267350,7296720,7325214,7351913,7376869,7401347,7424011,7445548,7465928,7485628,7505480,7523715
A.NHPI,190005,192127,194393,196677,198962,201148,203371,205727,207900,209962,212136,214209,216218,218196,220148,222050,223904,225715,227398,229137,230764,232356,233860,235566,236966,238378,239619,240948,242146,243266,244345,245357,246316,247203,247946,248813,249594,250015,250607,251183,251692,252055,252322,252699,252990
A.Multiracial,1446233,1468384,1491356,1514205,1537132,1559977,1582884,1605962,1628841,1651656,1674111,1696279,1718590,1741752,1764300,1787088,1809749,1832730,1855589,1878969,1902097,1925546,1948700,1972430,1995214,2018209,2041555,2065002,2087311,2110134,2132767,2154591,2176619,2197612,2218933,2240030,2260960,2281218,2301625,2321486,2341238,2361176,2380768,2400543,2420133
N.White,14977798,14978111,14998463,15023432,15050730,15078888,15108421,15138623,15168399,15199116,15229609,15260291,15288522,15315603,15339971,15363751,15387542,15408420,15426263,15439643,15450802,15460105,15466563,15471436,15474323,15475928,15476775,15476160,15475416,15474767,15473756,15475234,15478278,15482538,15489628,15497769,15508245,15522985,15540972,15563861,15589751,15620606,15655529,15693857,15734240
N.Black,2242413,2252850,2266042,2279679,2293451,2307493,2321433,2335168,2348855,2362561,2376433,2390152,2403949,2417001,2430158,2442675,2455347,2467552,2479624,2491813,2503460,2515151,2526346,2537005,2548094,2558630,2569019,2579155,2588937,2598989,2608454,2618324,2627690,2636720,2645747,2655009,2664217,2673207,2682456,2691741,2701564,2711255,2721184,2731480,2742153
N.AIAN,166305,167958,169726,171624,173299,175013,176732,178422,180092,181881,183431,185152,186592,188148,189700,191003,192605,193892,195042,196145,197330,198455,199518,200488,201376,202303,203181,203947,204746,205452,206155,206848,207454,208292,208787,209459,210171,211020,211670,212303,213005,213675,214491,215294,216229
N.Asian,5289675,5350217,5417226,5483428,5549312,5614168,5677464,5739269,5800492,5859936,5918490,5976520,6034284,6090895,6145859,6199034,6251509,6302255,6352698,6402279,6452151,6500538,6545995,6589898,6632201,6672392,6710894,6748612,6785001,6819650,6852834,6884909,6915307,6944730,6972380,6999087,7024088,7047448,7070377,7091502,7111598,7130565,7148957,7167481,7184338
N.NHPI,140243,141776,143392,145080,146737,148326,149943,151686,153291,154822,156433,158009,159487,160938,162364,163709,165088,166400,167603,168854,169973,171166,172218,173421,174342,175282,176080,177004,177748,178473,179155,179775,180340,180900,181265,181792,182218,182332,182557,182858,183097,183146,183137,183244,183341
N.Multiracial,1040267,1058301,1076964,1095622,1114429,1133125,1152024,1171070,1189877,1208908,1227624,1246237,1264911,1284405,1303370,1322530,1341796,1361351,1380768,1400700,1420469,1440557,1460213,1480495,1500182,1519963,1540283,1560612,1579994,1600059,1619807,1638847,1658157,1676706,1695542,1714385,1732908,1750939,1769361,1787125,1804966,1823008,1840714,1858735,1876630
H.White,13939381,14129909,14328107,14525717,14722373,14916909,15110818,15302860,15493541,15682503,15870427,16055797,16241508,16425717,16610215,16794317,16973905,17152228,17329800,17507281,17683593,17856704,18028978,18199086,18367445,18532120,18693573,18852040,19007070,19158198,19305881,19448753,19588143,19723496,19854149,19980065,20100360,20215856,20327672,20435507,20537825,20637540,20733643,20826931,20918431
H.Black,320176,323425,326863,330176,333536,336847,340095,343302,346396,349441,352408,355295,358139,361020,363763,366606,369234,371820,374403,376925,379370,381817,384136,386550,388838,391068,393236,395370,397409,399417,401286,403103,404976,406551,408320,409941,411483,412959,414380,415681,416974,418199,419420,420571,421688
H.AIAN,501573,508558,515757,522847,530014,536915,543884,550756,557540,564257,570818,577272,583616,590039,596475,602661,608927,614992,620984,626926,632882,638839,644643,650442,656016,661571,667249,672638,677928,683119,688208,693193,698058,702805,707571,711929,716282,720435,724606,728399,732291,735912,739461,743018,746325
H.Asian,238648,241480,244550,247567,250583,253581,256463,259437,262227,265084,267832,270517,273273,276022,278661,281318,283895,286475,288999,291617,294010,296498,299004,301406,303729,306032,308346,310554,312685,314825,316764,318867,320742,322620,324340,326127,327825,329421,330970,332509,333950,335363,336671,337999,339377
H.NHPI,49762,50351,51001,51597,52225,52822,53428,54041,54609,55140,55703,56200,56731,57258,57784,58341,58816,59315,59795,60283,60791,61190,61642,62145,62624,63096,63539,63944,64398,64793,65190,65582,65976,66303,66681,67021,67376,67683,68050,68325,68595,68909,69185,69455,69649
H.Multiracial,405966,410083,414392,418583,422703,426852,430860,434892,438964,442748,446487,450042,453679,457347,460930,464558,467953,471379,474821,478269,481628,484989,488487,491935,495032,498246,501272,504390,507317,510075,512960,515744,518462,520906,523391,525645,528052,530279,532264,534361,536272,538168,540054,541808,543503
Total,39312207,39613019,39952483,40295352,40639392,40980939,41321565,41659526,41994283,42326397,42655695,42981484,43304691,43624393,43939250,44250503,44556617,44856079,45150800,45440735,45726459,46006009,46277743,46544307,46804202,47056631,47303447,47544426,47778649,48007817,48230450,48449179,48663583,48872567,49077801,49278229,49473225,49664564,49855335,50044172,50229888,50416346,50602446,50789873,50975904
