Academic Yr,Category,Ethnicity,Perc FR,FilteredCountFR
2019,Applicants,International,19.49%,17035
2019,Applicants,Unknown,3.04%,2655
2019,Applicants,White,20.61%,18013
2019,Applicants,Asian,33.31%,29116
2019,Applicants,Chicano/Latino,18.17%,15877
2019,Applicants,American Indian,0.39%,338
2019,Applicants,African American,4.99%,4364
2019,Applicants,All,100.00%,87398
2018,Applicants,International,19.04%,17064
2018,Applicants,Unknown,3.40%,3046
2018,Applicants,White,21.10%,18911
2018,Applicants,Asian,32.55%,29170
2018,Applicants,Chicano/Latino,18.18%,16293
2018,Applicants,American Indian,0.43%,382
2018,Applicants,African American,5.29%,4743
2018,Applicants,All,100.00%,89609
2017,Applicants,International,18.15%,15434
2017,Applicants,Unknown,3.11%,2643
2017,Applicants,White,23.58%,20053
2017,Applicants,Asian,30.77%,26166
2017,Applicants,Chicano/Latino,18.68%,15883
2017,Applicants,American Indian,0.50%,427
2017,Applicants,African American,5.22%,4439
2017,Applicants,All,100.00%,85045
2016,Applicants,International,18.94%,15633
2016,Applicants,Unknown,3.30%,2728
2016,Applicants,White,24.11%,19905
2016,Applicants,Asian,30.19%,24928
2016,Applicants,Chicano/Latino,17.83%,14724
2016,Applicants,American Indian,0.51%,422
2016,Applicants,African American,5.11%,4220
2016,Applicants,All,100.00%,82560
2015,Applicants,International,19.05%,15027
2015,Applicants,Unknown,3.16%,2494
2015,Applicants,White,23.81%,18781
2015,Applicants,Asian,30.88%,24365
2015,Applicants,Chicano/Latino,17.57%,13865
2015,Applicants,American Indian,0.53%,417
2015,Applicants,African American,5.00%,3944
2015,Applicants,All,100.00%,78893
2014,Applicants,International,18.59%,13719
2014,Applicants,Unknown,2.80%,2066
2014,Applicants,White,24.12%,17795
2014,Applicants,Asian,31.31%,23099
2014,Applicants,Chicano/Latino,17.78%,13122
2014,Applicants,American Indian,0.60%,444
2014,Applicants,African American,4.80%,3540
2014,Applicants,All,100.00%,73785
2013,Applicants,International,17.13%,11601
2013,Applicants,Unknown,3.04%,2059
2013,Applicants,White,24.90%,16859
2013,Applicants,Asian,31.25%,21157
2013,Applicants,Chicano/Latino,18.20%,12321
2013,Applicants,American Indian,0.48%,328
2013,Applicants,African American,4.99%,3381
2013,Applicants,All,100.00%,67706
2012,Applicants,International,15.29%,9434
2012,Applicants,Unknown,2.77%,1708
2012,Applicants,White,24.96%,15406
2012,Applicants,Asian,33.31%,20555
2012,Applicants,Chicano/Latino,18.01%,11117
2012,Applicants,American Indian,0.60%,368
2012,Applicants,African American,5.07%,3129
2012,Applicants,All,100.00%,61717
2011,Applicants,International,11.95%,6330
2011,Applicants,Unknown,2.41%,1279
2011,Applicants,White,27.56%,14604
2011,Applicants,Asian,34.66%,18365
2011,Applicants,Chicano/Latino,17.79%,9427
2011,Applicants,American Indian,0.62%,330
2011,Applicants,African American,5.00%,2647
2011,Applicants,All,100.00%,52982
2010,Applicants,International,9.78%,4929
2010,Applicants,Unknown,5.40%,2721
2010,Applicants,White,28.13%,14170
2010,Applicants,Asian,34.41%,17332
2010,Applicants,Chicano/Latino,16.30%,8209
2010,Applicants,American Indian,0.70%,352
2010,Applicants,African American,5.28%,2661
2010,Applicants,All,100.00%,50374
2009,Applicants,International,9.00%,4383
2009,Applicants,Unknown,5.48%,2670
2009,Applicants,White,29.88%,14547
2009,Applicants,Asian,34.30%,16697
2009,Applicants,Chicano/Latino,16.02%,7797
2009,Applicants,American Indian,0.55%,270
2009,Applicants,African American,4.76%,2318
2009,Applicants,All,100.00%,48682
2008,Applicants,International,6.84%,3317
2008,Applicants,Unknown,6.74%,3267
2008,Applicants,White,31.04%,15045
2008,Applicants,Asian,34.46%,16702
2008,Applicants,Chicano/Latino,15.79%,7653
2008,Applicants,American Indian,0.51%,246
2008,Applicants,African American,4.63%,2243
2008,Applicants,All,100.00%,48473
2007,Applicants,International,5.90%,2606
2007,Applicants,Unknown,6.35%,2805
2007,Applicants,White,31.80%,14040
2007,Applicants,Asian,36.23%,15996
2007,Applicants,Chicano/Latino,14.60%,6446
2007,Applicants,American Indian,0.53%,233
2007,Applicants,African American,4.58%,2023
2007,Applicants,All,100.00%,44149
2006,Applicants,International,5.24%,2189
2006,Applicants,Unknown,6.85%,2862
2006,Applicants,White,31.23%,13053
2006,Applicants,Asian,37.47%,15660
2006,Applicants,Chicano/Latino,14.16%,5918
2006,Applicants,American Indian,0.60%,251
2006,Applicants,African American,4.46%,1863
2006,Applicants,All,100.00%,41796
2005,Applicants,International,5.12%,1896
2005,Applicants,Unknown,7.22%,2671
2005,Applicants,White,32.66%,12089
2005,Applicants,Asian,36.76%,13607
2005,Applicants,Chicano/Latino,13.46%,4982
2005,Applicants,American Indian,0.52%,191
2005,Applicants,African American,4.26%,1578
2005,Applicants,All,100.00%,37014
2004,Applicants,International,4.14%,1524
2004,Applicants,Unknown,8.92%,3284
2004,Applicants,White,31.54%,11617
2004,Applicants,Asian,37.50%,13813
2004,Applicants,Chicano/Latino,13.18%,4853
2004,Applicants,American Indian,0.50%,185
2004,Applicants,African American,4.23%,1558
2004,Applicants,All,100.00%,36834
2003,Applicants,International,4.72%,1746
2003,Applicants,Unknown,9.64%,3568
2003,Applicants,White,31.49%,11651
2003,Applicants,Asian,36.38%,13462
2003,Applicants,Chicano/Latino,12.58%,4653
2003,Applicants,American Indian,0.54%,198
2003,Applicants,African American,4.66%,1723
2003,Applicants,All,100.00%,37001
2002,Applicants,International,4.49%,1635
2002,Applicants,Unknown,8.68%,3165
2002,Applicants,White,32.47%,11835
2002,Applicants,Asian,37.78%,13770
2002,Applicants,Chicano/Latino,11.75%,4282
2002,Applicants,American Indian,0.55%,200
2002,Applicants,African American,4.27%,1558
2002,Applicants,All,100.00%,36445
2001,Applicants,International,5.63%,2039
2001,Applicants,Unknown,9.57%,3467
2001,Applicants,White,31.79%,11515
2001,Applicants,Asian,37.41%,13551
2001,Applicants,Chicano/Latino,11.01%,3990
2001,Applicants,American Indian,0.57%,207
2001,Applicants,African American,4.02%,1458
2001,Applicants,All,100.00%,36227
2000,Applicants,International,5.08%,1695
2000,Applicants,Unknown,9.80%,3268
2000,Applicants,White,32.95%,10989
2000,Applicants,Asian,37.39%,12469
2000,Applicants,Chicano/Latino,10.31%,3439
2000,Applicants,American Indian,0.52%,173
2000,Applicants,African American,3.95%,1318
2000,Applicants,All,100.00%,33351
1999,Applicants,International,4.81%,1503
1999,Applicants,Unknown,9.67%,3020
1999,Applicants,White,34.62%,10813
1999,Applicants,Asian,37.69%,11772
1999,Applicants,Chicano/Latino,9.04%,2823
1999,Applicants,American Indian,0.51%,159
1999,Applicants,African American,3.66%,1143
1999,Applicants,All,100.00%,31233
1998,Applicants,International,4.72%,1421
1998,Applicants,Unknown,15.39%,4638
1998,Applicants,White,29.64%,8931
1998,Applicants,Asian,35.03%,10557
1998,Applicants,Chicano/Latino,10.47%,3156
1998,Applicants,American Indian,0.58%,175
1998,Applicants,African American,4.17%,1256
1998,Applicants,All,100.00%,30134
1997,Applicants,International,5.21%,1420
1997,Applicants,Unknown,6.00%,1636
1997,Applicants,White,34.58%,9430
1997,Applicants,Asian,38.84%,10593
1997,Applicants,Chicano/Latino,10.55%,2878
1997,Applicants,American Indian,0.51%,138
1997,Applicants,African American,4.31%,1176
1997,Applicants,All,100.00%,27271
1996,Applicants,International,3.79%,955
1996,Applicants,Unknown,7.57%,1909
1996,Applicants,White,33.84%,8531
1996,Applicants,Asian,38.08%,9600
1996,Applicants,Chicano/Latino,11.23%,2831
1996,Applicants,American Indian,0.68%,172
1996,Applicants,African American,4.81%,1213
1996,Applicants,All,100.00%,25211
1995,Applicants,International,4.26%,977
1995,Applicants,Unknown,6.43%,1474
1995,Applicants,White,33.92%,7771
1995,Applicants,Asian,37.37%,8560
1995,Applicants,Chicano/Latino,11.92%,2730
1995,Applicants,American Indian,0.86%,197
1995,Applicants,African American,5.23%,1199
1995,Applicants,All,100.00%,22908
1994,Applicants,International,3.62%,759
1994,Applicants,Unknown,5.98%,1255
