Race.Ethnicity,Residency,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All,CA,3218,3343,3522,3309,3317,3328,3763,3822,3872,3665,3878,3044,2948,3042,3091,3851,3945,4715,4416,4306,4634
AfAm,CA,122,143,137,142,141,102,129,148,132,142,122,110,115,129,117,136,133,150,155,168,157
AmIn,CA,21,19,20,11,14,16,11,17,18,19,19,23,28,25,17,32,23,20,22,18,20
HiLa,CA,321,320,379,397,391,340,428,477,485,458,473,408,454,516,525,748,705,811,873,903,934
AsAm,CA,1444,1510,1598,1553,1509,1523,1808,1819,1818,1693,1775,1409,1415,1481,1453,1747,1885,2193,1991,2008,2209
White,CA,982,987,1006,940,941,1032,1120,1089,1155,1069,1246,890,860,775,842,1028,988,1268,1149,984,1075
Unknown,CA,328,364,382,266,321,315,267,272,264,284,243,204,76,116,137,160,211,273,226,225,239
All,US,309,313,262,257,235,265,239,229,225,242,153,553,834,592,767,867,918,951,1266,907,972
AfAm,US,4,5,6,1,7,6,5,3,4,4,7,13,15,13,13,23,22,22,31,21,21
AmIn,US,1,1,2,3,2,0,3,0,3,0,0,5,5,4,1,10,4,2,2,2,4
HiLa,US,9,6,9,4,5,6,1,4,7,5,4,18,31,24,35,40,37,32,49,33,38
AsAm,US,140,126,98,90,88,94,94,84,92,95,54,214,428,302,371,426,449,506,693,495,563
White,US,129,137,130,124,111,138,114,115,106,109,75,257,329,227,316,324,355,334,416,293,284
Unknown,US,26,38,17,35,22,21,22,23,13,29,13,46,26,22,31,44,51,55,75,63,62
