,1st year,3 yrs,4 yrs,5 yrs,6 yrs,7+yrs
1999,95.2%,1.7%,63.5%,87.9%,90.0%,91.0%
2000,95.4%,2.6%,66.1%,89.1%,91.4%,92.1%
2001,97.3%,2.2%,67.1%,89.3%,91.7%,92.9%
2002,97.0%,2.3%,69.8%,90.4%,93.3%,94.1%
2003,98.1%,2.5%,74.2%,92.3%,94.5%,95.3%
2004,98.1%,2.9%,76.2%,92.7%,94.5%,95.1%
2005,96.7%,3.1%,78.4%,91.7%,93.7%,94.5%
2006,98.0%,2.8%,76.8%,92.3%,94.0%,94.8%
2007,97.9%,2.9%,78.8%,92.8%,94.7%,95.4%
2008,97.9%,2.5%,79.0%,92.4%,94.3%,94.9%
2009,97.7%,3.4%,79.3%,93.0%,94.7%,95.4%
2010,97.8%,3.9%,82.9%,93.0%,94.6%,95.2%
2011,97.2%,3.8%,81.1%,91.2%,93.4%,94.2%
2012,97.6%,4.2%,83.1%,93.8%,95.3%,95.7%
2013,97.6%,4.3%,82.7%,94.1%,96.7%,
2014,97.3%,4.3%,81.0%,93.3%,,
2015,98.0%,4.3%,84.5%,,,
2016,97.9%,4.7%,,,,
2017,98.0%,,,,,
2018,97.9%,,,,,
