,1st year,3 yrs,4 yrs,5 yrs,6 yrs,7+yrs
1999,92.1%,1.6%,25.2%,59.8%,70.1%,74.8%
2000,91.5%,0.0%,38.6%,66.7%,73.2%,76.5%
2001,89.5%,2.1%,35.0%,61.5%,67.8%,70.6%
2002,92.3%,2.1%,40.8%,67.6%,76.8%,77.5%
2003,98.0%,1.3%,39.3%,65.3%,74.0%,77.3%
2004,95.4%,5.5%,39.4%,67.0%,76.1%,78.9%
2005,94.1%,0.7%,31.9%,60.0%,71.1%,74.8%
2006,95.4%,0.7%,44.1%,72.4%,77.0%,81.6%
2007,95.6%,0.0%,49.3%,72.8%,78.7%,80.9%
2008,93.2%,1.4%,44.5%,69.2%,74.7%,77.4%
2009,93.8%,2.3%,45.0%,72.9%,76.0%,78.3%
2010,94.4%,1.6%,52.4%,71.8%,75.0%,76.6%
2011,95.4%,3.1%,54.6%,76.9%,82.3%,83.1%
2012,91.1%,2.1%,45.9%,67.8%,74.0%,76.7%
2013,93.2%,2.3%,53.0%,72.7%,78.0%,
2014,96.2%,4.4%,57.9%,81.8%,,
2015,93.0%,1.9%,53.8%,,,
2016,93.6%,2.3%,,,,
2017,96.2%,,,,,
2018,94.1%,,,,,
