,1st year,3 yrs,4 yrs,5 yrs,6 yrs,7+yrs
1999,89.3%,0.9%,36.5%,70.6%,77.9%,80.7%
2000,91.3%,0.9%,37.9%,73.9%,82.6%,83.5%
2001,91.0%,1.8%,37.9%,72.1%,78.7%,81.0%
2002,93.8%,1.7%,41.7%,74.9%,82.1%,84.4%
2003,93.7%,1.3%,49.2%,81.2%,85.0%,86.8%
2004,95.3%,1.8%,47.8%,81.5%,86.2%,87.4%
2005,91.8%,1.4%,46.9%,77.0%,82.2%,83.6%
2006,95.6%,1.5%,51.2%,77.4%,81.6%,83.7%
2007,93.3%,2.0%,55.2%,82.0%,85.1%,86.3%
2008,94.2%,2.0%,49.8%,80.3%,84.7%,87.4%
2009,96.2%,1.7%,52.0%,80.3%,85.1%,87.7%
2010,95.5%,1.2%,55.6%,84.3%,88.8%,90.0%
2011,94.1%,2.7%,60.2%,85.5%,88.0%,88.6%
2012,94.8%,1.4%,54.4%,80.1%,84.5%,85.9%
2013,93.3%,1.9%,54.6%,78.3%,84.7%,
2014,94.4%,2.0%,58.6%,83.2%,,
2015,95.1%,3.0%,61.4%,,,
2016,94.9%,2.2%,,,,
2017,95.1%,,,,,
2018,93.7%,,,,,
