,1st year,3 yrs,4 yrs,5 yrs,6 yrs,7+yrs
1999,93.9%,2.4%,58.1%,83.9%,87.2%,89.2%
2000,92.5%,3.1%,61.0%,84.5%,87.9%,88.9%
2001,94.3%,3.6%,62.6%,84.9%,89.2%,90.4%
2002,94.6%,2.4%,66.6%,88.6%,90.8%,91.3%
2003,94.2%,2.2%,66.0%,87.5%,89.9%,91.0%
2004,95.4%,2.5%,66.7%,88.1%,90.4%,91.7%
2005,96.2%,2.9%,72.8%,90.0%,92.4%,93.5%
2006,96.7%,3.1%,73.8%,89.7%,92.3%,92.9%
2007,96.3%,4.0%,71.9%,88.0%,90.4%,91.0%
2008,95.9%,2.7%,73.8%,89.7%,91.6%,92.6%
2009,96.8%,2.9%,74.5%,88.7%,91.2%,92.1%
2010,96.2%,3.0%,77.1%,89.5%,91.2%,92.2%
2011,94.6%,4.2%,76.1%,87.9%,90.2%,90.9%
2012,96.4%,3.2%,74.1%,89.2%,91.1%,91.4%
2013,95.2%,2.5%,76.9%,90.2%,91.9%,
2014,96.3%,4.4%,79.3%,91.2%,,
2015,96.4%,4.9%,81.2%,,,
2016,97.6%,4.2%,,,,
2017,96.0%,,,,,
2018,96.4%,,,,,
