Academic Yr,Category,Ethnicity,Perc FR,FilteredCountFR
2019,Applicants,International,16.76%,18652
2019,Applicants,Unknown,2.81%,3129
2019,Applicants,White,20.92%,23286
2019,Applicants,Asian,31.18%,34707
2019,Applicants,Chicano/Latino,22.27%,24788
2019,Applicants,American Indian,0.41%,451
2019,Applicants,African American,5.67%,6308
2019,Applicants,All,100.00%,111321
2018,Applicants,International,17.07%,19419
2018,Applicants,Unknown,3.09%,3515
2018,Applicants,White,21.02%,23908
2018,Applicants,Asian,29.98%,34103
2018,Applicants,Chicano/Latino,22.54%,25635
2018,Applicants,American Indian,0.45%,517
2018,Applicants,African American,5.85%,6658
2018,Applicants,All,100.00%,113755
2017,Applicants,International,17.43%,17813
2017,Applicants,Unknown,2.90%,2965
2017,Applicants,White,22.09%,22578
2017,Applicants,Asian,28.78%,29419
2017,Applicants,Chicano/Latino,22.61%,23111
2017,Applicants,American Indian,0.50%,514
2017,Applicants,African American,5.70%,5826
2017,Applicants,All,100.00%,102226
2016,Applicants,International,18.02%,17496
2016,Applicants,Unknown,3.02%,2930
2016,Applicants,White,22.51%,21861
2016,Applicants,Asian,28.56%,27732
2016,Applicants,Chicano/Latino,21.69%,21060
2016,Applicants,American Indian,0.51%,492
2016,Applicants,African American,5.71%,5541
2016,Applicants,All,100.00%,97112
2015,Applicants,International,17.68%,16387
2015,Applicants,Unknown,3.01%,2788
2015,Applicants,White,22.68%,21023
2015,Applicants,Asian,29.30%,27161
2015,Applicants,Chicano/Latino,21.11%,19569
2015,Applicants,American Indian,0.52%,478
2015,Applicants,African American,5.70%,5284
2015,Applicants,All,100.00%,92690
2014,Applicants,International,17.34%,15003
2014,Applicants,Unknown,2.58%,2229
2014,Applicants,White,23.03%,19927
2014,Applicants,Asian,29.82%,25805
2014,Applicants,Chicano/Latino,21.27%,18410
2014,Applicants,American Indian,0.58%,506
2014,Applicants,African American,5.38%,4657
2014,Applicants,All,100.00%,86537
2013,Applicants,International,16.02%,12899
2013,Applicants,Unknown,2.81%,2266
2013,Applicants,White,23.19%,18673
2013,Applicants,Asian,29.98%,24138
2013,Applicants,Chicano/Latino,21.99%,17706
2013,Applicants,American Indian,0.53%,428
2013,Applicants,African American,5.46%,4395
2013,Applicants,All,100.00%,80505
2012,Applicants,International,13.59%,9877
2012,Applicants,Unknown,2.50%,1815
2012,Applicants,White,23.49%,17070
2012,Applicants,Asian,32.56%,23666
2012,Applicants,Chicano/Latino,21.67%,15748
2012,Applicants,American Indian,0.58%,420
2012,Applicants,African American,5.61%,4080
2012,Applicants,All,100.00%,72676
2011,Applicants,International,9.46%,5826
2011,Applicants,Unknown,2.31%,1423
2011,Applicants,White,26.08%,16052
2011,Applicants,Asian,34.41%,21181
2011,Applicants,Chicano/Latino,21.75%,13390
2011,Applicants,American Indian,0.59%,361
2011,Applicants,African American,5.40%,3323
2011,Applicants,All,100.00%,61556
2010,Applicants,International,7.25%,4182
2010,Applicants,Unknown,5.15%,2967
2010,Applicants,White,26.87%,15493
2010,Applicants,Asian,34.65%,19978
2010,Applicants,Chicano/Latino,19.82%,11428
2010,Applicants,American Indian,0.68%,392
2010,Applicants,African American,5.58%,3218
2010,Applicants,All,100.00%,57658
2009,Applicants,International,6.34%,3531
2009,Applicants,Unknown,5.11%,2848
2009,Applicants,White,28.57%,15911
2009,Applicants,Asian,35.28%,19648
2009,Applicants,Chicano/Latino,19.17%,10677
2009,Applicants,American Indian,0.57%,316
2009,Applicants,African American,4.96%,2763
2009,Applicants,All,100.00%,55694
2008,Applicants,International,4.93%,2733
2008,Applicants,Unknown,6.44%,3567
2008,Applicants,White,29.61%,16413
2008,Applicants,Asian,34.82%,19301
2008,Applicants,Chicano/Latino,18.56%,10286
2008,Applicants,American Indian,0.54%,297
2008,Applicants,African American,5.10%,2826
2008,Applicants,All,100.00%,55423
2007,Applicants,International,4.03%,2046
2007,Applicants,Unknown,6.05%,3069
2007,Applicants,White,30.46%,15459
2007,Applicants,Asian,36.79%,18668
2007,Applicants,Chicano/Latino,17.31%,8786
2007,Applicants,American Indian,0.51%,258
2007,Applicants,African American,4.85%,2460
2007,Applicants,All,100.00%,50746
2006,Applicants,International,3.58%,1692
2006,Applicants,Unknown,6.40%,3029
2006,Applicants,White,30.59%,14473
2006,Applicants,Asian,38.10%,18026
2006,Applicants,Chicano/Latino,16.16%,7647
2006,Applicants,American Indian,0.58%,274
2006,Applicants,African American,4.60%,2176
2006,Applicants,All,100.00%,47317
2005,Applicants,International,3.39%,1431
2005,Applicants,Unknown,6.75%,2850
2005,Applicants,White,31.71%,13390
2005,Applicants,Asian,37.12%,15675
2005,Applicants,Chicano/Latino,16.15%,6818
2005,Applicants,American Indian,0.50%,213
2005,Applicants,African American,4.37%,1846
2005,Applicants,All,100.00%,42223
2004,Applicants,International,2.91%,1265
2004,Applicants,Unknown,8.58%,3730
2004,Applicants,White,31.24%,13579
2004,Applicants,Asian,36.44%,15837
2004,Applicants,Chicano/Latino,15.79%,6863
2004,Applicants,American Indian,0.53%,232
2004,Applicants,African American,4.50%,1954
