,1st year,3 yrs,4 yrs,5 yrs,6 yrs,7+yrs
1999,98.0%,0.7%,34.0%,70.0%,75.3%,76.7%
2000,98.1%,1.9%,34.8%,71.6%,78.1%,80.6%
2001,94.9%,0.7%,48.9%,73.7%,75.9%,78.8%
2002,93.9%,1.2%,44.2%,67.9%,73.9%,78.8%
2003,97.7%,1.5%,36.9%,76.9%,81.5%,83.8%
2004,98.1%,0.9%,42.6%,69.4%,77.8%,79.6%
2005,95.8%,1.7%,50.8%,78.0%,78.8%,82.2%
2006,96.9%,2.1%,40.6%,74.0%,79.2%,81.3%
2007,94.0%,2.5%,54.5%,82.5%,86.5%,87.0%
2008,96.9%,2.7%,52.9%,76.9%,81.3%,82.2%
2009,94.8%,1.0%,58.0%,78.8%,80.3%,81.9%
2010,94.9%,2.6%,55.4%,76.9%,81.0%,82.6%
2011,93.0%,2.8%,54.9%,75.3%,77.7%,80.0%
2012,96.0%,1.5%,57.3%,75.9%,79.4%,81.4%
2013,96.3%,2.5%,59.3%,80.5%,83.4%,
2014,94.6%,1.6%,65.9%,77.9%,,
2015,96.7%,0.4%,64.7%,,,
2016,94.5%,1.6%,,,,
2017,95.4%,,,,,
2018,94.5%,,,,,
