,1st year,3 yrs,4 yrs,5 yrs,6 yrs,7+yrs
1999,95.7%,3.5%,62.8%,86.2%,89.0%,90.3%
2000,96.8%,3.7%,63.6%,87.7%,91.1%,92.5%
2001,95.9%,3.7%,68.0%,89.4%,92.2%,92.9%
2002,95.7%,3.2%,66.9%,88.5%,91.4%,92.5%
2003,96.4%,4.5%,70.5%,88.9%,91.6%,92.3%
2004,94.8%,4.5%,70.5%,88.1%,90.3%,90.6%
2005,96.5%,3.7%,73.3%,89.5%,91.5%,92.1%
2006,96.2%,2.9%,75.2%,90.3%,92.1%,92.7%
2007,96.6%,3.3%,75.9%,89.8%,91.3%,92.5%
2008,95.8%,4.2%,76.9%,90.5%,92.3%,92.9%
2009,96.6%,3.2%,78.3%,90.9%,92.0%,92.8%
2010,96.1%,2.9%,77.6%,90.6%,91.6%,92.1%
2011,96.9%,3.5%,79.4%,91.6%,92.7%,93.1%
2012,96.1%,4.1%,80.7%,90.3%,90.9%,91.3%
2013,96.9%,4.0%,85.4%,92.4%,93.7%,
2014,97.1%,4.3%,85.6%,92.2%,,
2015,96.3%,3.8%,86.8%,,,
2016,95.6%,4.6%,,,,
2017,96.9%,,,,,
2018,96.2%,,,,,
